221.59,78.4,115.58,294.34,2,3,1
303.57,99.904,103.49,202.94,2,4,1
411.09,87.808,65.856,176.06,2,4,1
464.04,89.588,70.523,171.99,2,4,1
601.94,60.928,91.392,268.8,2,4,1
850.58,59.584,83.328,280.9,2,3,1
751.12,77.056,65.856,212.35,2,3,1
1105.1,97.171,127.9,215.33,2,4,1
1048.1,118.72,49.728,155.9,2,3,1
1005.1,90.496,45.696,130.37,2,3,0
710.8,109.31,37.632,102.14,2,4,0
678.55,74.368,45.696,154.56,2,3,0
818.32,95.872,43.008,141.12,2,3,0
87.188,95.872,36.288,157.25,2,4,0
179.92,128.13,48.384,169.34,2,4,0
