239.51,54.474,194.55,324.8,2,3,1
631.51,132.16,124.99,241.92,2,3,1
575.06,58.24,88.704,272.83,2,4,0
419.16,77.056,77.952,211.01,2,4,0
200.08,77.056,51.072,174.72,2,4,0
99.284,71.68,56.448,188.16,2,2,1
14.612,87.808,77.952,162.62,2,4,1
466.2,114.69,61.824,116.93,2,3,0
772.63,79.744,90.048,211.01,2,3,1
911.06,121.41,67.2,161.28,2,3,1
858.64,117.38,55.104,122.3,2,3,0
1084.4,89.152,77.952,220.42,2,3,1
1029.3,89.152,53.76,118.27,2,3,0
1181.2,129.47,80.64,150.53,2,3,1
528.02,99.904,36.288,18.816,1,7,0
696.02,95.872,17.472,32.256,2,3,0
952.72,98.56,14.784,44.352,2,4,0
